City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vorgashor,67.5833,63.95,71.56,70,93,6.6,RU,1689869091
84,kirensk,57.7853,108.1119,58.03,81,27,0.31,RU,1689869092
85,hami,42.8,93.45,93.61,11,61,4.99,CN,1689869092
86,novyy turtkul',41.55,61.0167,84.11,20,0,9.22,UZ,1689869092
87,colonia,50.9333,6.95,77.97,40,0,11.5,DE,1689869092
88,praia da vitoria,38.7333,-27.0667,75.45,78,40,5.88,PT,1689869092
89,rokytne,51.2796,27.214,65.97,73,79,9.4,UA,1689869092
90,lihue,21.9789,-159.3672,78.39,85,100,17.27,US,1689869092
91,whitehorse,60.7161,-135.0538,59.09,62,75,2.3,CA,1689869087
92,nago,26.5881,127.9761,82.45,79,85,3.38,JP,1689869093
93,sinabang,2.4803,96.3801,78.93,82,96,3.85,ID,1689869093
94,amnat charoen,15.9167,104.75,77.29,91,94,4.83,TH,1689869093
95,auki,-8.7676,160.7034,77.7,91,98,3.49,SB,1689869093
96,college,64.8569,-147.8028,62.58,94,100,3.44,US,1689869051
97,al mahwit,15.4701,43.5448,72.37,37,84,9.75,YE,1689869093
98,saint-philippe,-21.3585,55.7679,72.99,89,51,8.14,RE,1689869093
99,bukama,-9.2,25.85,86.07,22,9,2.21,CD,1689869094
100,rurrenabaque,-14.4413,-67.5278,76.69,69,0,0.0,BO,1689869094
101,lerwick,60.1545,-1.1494,51.8,81,99,18.59,GB,1689869094
102,flin flon,54.7682,-101.865,69.64,60,75,3.44,CA,1689869094
103,mina clavero,-31.721,-65.0062,61.99,47,19,10.13,AR,1689869094
104,bonthe,7.5264,-12.505,81.66,77,98,11.27,SL,1689869094
105,mykolaiv,49.5237,23.9852,69.8,68,32,9.91,UA,1689869095
106,mil'kovo,55.6078,37.7956,69.94,62,65,10.98,RU,1689869095
107,piton saint-leu,-21.2196,55.3151,69.91,83,0,2.3,RE,1689869095
108,puerto san jose,13.9256,-90.8244,86.38,61,12,3.13,GT,1689869095
109,chibougamau,49.9168,-74.3659,64.02,63,75,5.64,CA,1689868966
110,tura,25.5198,90.2201,77.54,93,99,4.43,IN,1689869095
111,kruisfontein,-34.0033,24.7314,49.89,64,91,9.17,ZA,1689869095
112,pacific grove,36.6177,-121.9166,55.08,96,100,11.01,US,1689868808
113,angel r. cabada,18.5833,-95.4333,84.7,69,79,5.35,MX,1689869095
114,tazovsky,67.4667,78.7,63.68,83,76,3.89,RU,1689869096
115,nemuro,43.3236,145.575,57.04,92,31,5.28,JP,1689869096
116,badger,64.8,-147.5333,62.51,94,100,3.44,US,1689869096
117,sault ste. marie,46.5168,-84.3333,64.96,96,100,4.61,CA,1689868913
118,kavieng,-2.5744,150.7967,81.01,80,73,8.43,PG,1689869096
119,acapulco de juarez,16.8634,-99.8901,87.62,70,20,4.61,MX,1689869096
120,new kingman-butler,35.265,-114.0323,97.18,16,0,0.0,US,1689869096
121,kill devil hills,36.0307,-75.676,87.8,73,0,4.61,US,1689868828
122,tinajo,29.0788,-13.7081,79.68,54,20,24.16,ES,1689869096
123,avarua,-21.2078,-159.775,68.05,64,75,3.44,CK,1689869097
124,gadzhiyevo,69.2551,33.3362,50.36,88,100,20.87,RU,1689869097
125,qoryooley,1.7878,44.53,76.39,79,96,17.94,SO,1689869097
126,namioka,40.7072,140.5894,67.32,95,13,2.17,JP,1689869097
127,nizhnesortymskiy,62.4397,71.7603,66.69,79,100,3.62,RU,1689869097
128,ocean shores,46.9737,-124.1563,61.29,96,100,9.22,US,1689869044
129,iskateley,67.6803,53.1512,61.03,82,100,16.53,RU,1689868909
130,san antonio de pale,-1.4014,5.6325,75.16,77,7,11.32,GQ,1689868847
131,lebu,-37.6167,-73.65,55.08,94,100,24.96,CL,1689869036
132,naxos,37.1056,25.3764,89.19,51,0,13.0,GR,1689868874
133,mount isa,-20.7333,139.5,65.97,55,39,5.75,AU,1689869098
134,nerva,37.6963,-6.5497,97.3,12,0,13.13,ES,1689869098
135,palmer,42.1584,-72.3287,83.08,53,9,1.01,US,1689868911
136,badagry,6.4167,2.8833,81.32,76,68,13.67,NG,1689869098
137,mamuju,-2.6748,118.8885,79.05,87,20,3.78,ID,1689869098
138,cabedelo,-6.9811,-34.8339,83.07,65,43,15.1,BR,1689868859
139,mili,6.0815,171.735,83.12,81,100,18.84,MH,1689869098
140,igarka,67.4667,86.5833,63.05,98,100,8.9,RU,1689869059
141,waynesville,35.4887,-82.9887,82.78,55,47,5.93,US,1689868806
